NetflixID,Title,Type,ReleaseYear,Synopsis,Runtime,Image,IMDbRating,RT Critic,RT Audience
81094667,Hidden in Plain Sight,movie,2019,A woman stages her own suicide but still lives in fear of her abusive ex-boyfriend tracking her down and stealing the son he never knew he had.,1h27m,https://occ-0-32-34.1.nflxso.net/dnm/api/v6/XsrytRUxks8BtTRf9HNlZkW2tvY/AAAABdz7go8aSS5yADF39i_HRFNvQnzR8_evLwt0tKzGili02CQbBjcb5KZ-6w7wrRSOLVIqb0B6Kaa2bqrj0I7mHOhthA.jpg?r=6f2,5.0,78.0,71.0
81067760,The Wandering Earth,movie,2019,A looming collision with Jupiter threatens Earth as humans search for a new star. The planet's fate now lies in the hands of a few unexpected heroes.,2h5m,https://occ-0-2851-1432.1.nflxso.net/dnm/api/v6/XsrytRUxks8BtTRf9HNlZkW2tvY/AAAABbuUmbKLZj_wVJXvjnpdp7uxoXXoYI4A408ulEKEu8ryn-LC-MMxERN6c17GZNubHd5xJWQ3HDUqlD7l7Yi_7u98SlC-FZngZkccy_e9rWzz-bVof2e7evCq8n0.jpg?r=b1e,6.0,71.0,51.0
80227677,Anthony Jeselnik: Fire in the Maternity Ward,movie,2019,"Forging his own comedic boundaries, Anthony Jeselnik revels in getting away with saying things others can't in this stand-up special shot in New York.",1h4m,http://occ-0-1952-2433.1.nflxso.net/dnm/api/v6/XsrytRUxks8BtTRf9HNlZkW2tvY/AAAABfJqNMeDYzxV9vCQqYvYQSHlNyGhoDPyU_Yrzx6OCEPzEexjGwn9KmkiuaWCksRfeAkBYlbuyQe-tZyqK25gbkRnR5AJvkgI_dq0Ai_aBvQjKx-BiVrvhyklpvg.jpg?r=41d,7.1,80.0,
81072852,Angel 'N' Devil,series,2014,"In a world known as the Copper Dimension, a group of high-school girls fights against dark forces -- and their own inner demons.",,https://occ-0-1952-2433.1.nflxso.net/dnm/api/v6/XsrytRUxks8BtTRf9HNlZkW2tvY/AAAABQqMI0-UCimEhhvxwZy9GXdx1qIG0svKE6dKwofxRC4VGtJ_R9hqwdkMXh3B7vfkAGlxxyheQsMLG8kSrrFk2CyqGA.jpg?r=304,5.5,,
81050394,Hong Kong West Side Stories,series,2018,"The intimate lives of young men and women from Hong Kong are linked by loosely connected stories about love, lust, separation and deceit.",,https://occ-0-2851-1432.1.nflxso.net/dnm/api/v6/XsrytRUxks8BtTRf9HNlZkW2tvY/AAAABYqVBnxpw4QA1Og_9MQxTCK8JzB-Ufnrbs_H3HS0NblntIWK0TyCRq-k3PkcIpU4EZ7rWEuS6GZLArc7skWiZZ9gsw.jpg?r=621,,,
81072883,The Outsiders,series,2004,A trio of delinquent brothers fends off neighborhood rivals until one joins a gang to gain protection for the upper-class girl he loves.,,https://occ-0-2851-1432.1.nflxso.net/dnm/api/v6/XsrytRUxks8BtTRf9HNlZkW2tvY/AAAABQGcwWeILQvdVczJwD6pF0S-qdt0z_JZ8SqJzDQ2I2Tou7q6RJIdH6_jh18mlV1ttdZDd7LPNa98i-2eDWxNg787EQ.jpg?r=32a,,20.0,
81072752,K.O.3an Guo,series,2009,"In the Silver Dimension, Liu Bei, Guan Yu and Zhang Fei plan to enroll in an elite academy as sworn brothers, but KO One visitors derail the plan.",,https://occ-0-1952-2433.1.nflxso.net/dnm/api/v6/XsrytRUxks8BtTRf9HNlZkW2tvY/AAAABcq46kwcV46w4VsH4nu1H1tHLsdXIkla-8ma86q1zlt_z-oeICNAsE-6l5HNACl0tOIGYB0JPt6WBYVMvZ3Sy008jw.jpg?r=822,4.9,,
81072951,K.O. One Re-act,series,2013,"As a guardian of space-time order, 28-year-old Wang Dadong returns to Bale High School to investigate an anomaly and clashes with King.",,https://occ-0-2851-1432.1.nflxso.net/dnm/api/v6/XsrytRUxks8BtTRf9HNlZkW2tvY/AAAABdzLVbbfv7rOPMKsx446M-LB8orI10wVCK1WXdqrPgqWyDh9Y_16qNofnjfG7xuwPlnZOlVE72zUv152hjmzygLzbw.jpg?r=bf9,,,
81072919,KO One Return,series,2012,"A time quake propels Wang Dadong into the future, where he encounters a classmate named King who presides over the KO One.",,https://occ-0-1952-2433.1.nflxso.net/dnm/api/v6/XsrytRUxks8BtTRf9HNlZkW2tvY/AAAABYa3U2l8XXD1h93TanGreUTHmWfmtvkjQUZ6mNXNmhinDUqO2aWghpQYcTys9z41Jb4IdtpbmoML0y70SEhDmZM1vA.jpg?r=ad6,,,
81094082,Teen Aur Aadha,movie,2018,"At a 50-year-old house that served as a school, a brothel, and now a home, tales unfold of the residents who have lived there, longing for an escape.",1h59m,https://occ-0-299-300.1.nflxso.net/dnm/api/v6/XsrytRUxks8BtTRf9HNlZkW2tvY/AAAABTmSK6wcKWmk9RhoFmYGVZ9Lvnv8FtdkbPLcrmDdVe9fu9rC4RnTgBm_e7e6UQuKL_hXeOE0-gvZvFjDGRhOINtNUQ.jpg?r=2b0,7.4,,
80157889,CRD,movie,2016,"At odds with his radical instructor's ruthless methods, a drama student assembles his own troupe of misfit actors ahead of a prestigious competition.",1h50m,https://occ-0-299-300.1.nflxso.net/dnm/api/v6/XsrytRUxks8BtTRf9HNlZkW2tvY/AAAABUtiprAN7uluX4RGMm4UyLrEOCzxRuXpU8USsrFUznqRsT8JiOMsbVWCgj2QWf1xr5Om7vTmiqtMV4zhdkNfqk_WKQ.jpg?r=a9c,7.5,100.0,
80244996,Street Food,series,2019,Embark on a global cultural journey into street food and discover the stories of the people who create the flavorful dishes.,,https://occ-0-1952-2433.1.nflxso.net/dnm/api/v6/XsrytRUxks8BtTRf9HNlZkW2tvY/AAAABZebxAYlN1YeGgqeIaPExQ_WT7tqjKnRvw3CzA6czGSy9vEPphROoOgkCkL7YA-xC7LVHv2HtfYdWsm17RW08xiZsgksNlGUNs8Cq9Qh-JJCJunZtRfvgLjHdFQ.jpg?r=43f,8.0,100.0,90.0
80210361,Chambers,series,2019,"Haunted by eerie visions and sinister impulses after a heart transplant, a teenager tries to unmask the truth behind her donor's mysterious death.",,https://occ-0-2851-1432.1.nflxso.net/dnm/api/v6/XsrytRUxks8BtTRf9HNlZkW2tvY/AAAABc_uGksptJ4Kp-MZhyeuEaZNHhxqA4b7yyp0EPn0atD43xrNGjtoPlqgO4CFAr4F9ghWjaqk4HMkQJtv1QP4fF3vzRUfY6xk-j94paM10ub9SH1hsX9mNoIKIV0.jpg?r=078,6.5,42.0,73.0
80191049,ReMastered: Devil at the Crossroads,movie,2019,"Cloaked in mystery, bluesman Robert Johnson left his mark on American music. Now family, critics and famous fans look for the real man behind the music.",48m,https://occ-0-299-300.1.nflxso.net/dnm/api/v6/XsrytRUxks8BtTRf9HNlZkW2tvY/AAAABVLiisZ1Zi5JbW7OR2gxrFeJvz1ndkJWOASvkOr8Xc3X421V3U_7BmFC8EHkRs59nDYPtd-9UyIdtFGklPwnLMAplVKWYPp21bvWGAbuT6fBm6dDlwq4211sv-U.jpg?r=5db,7.0,,
81076251,Money Trap,movie,2019,"When his daughter and son-in-law fall prey to a scam, Istanbul con man As&#x131;m Noyan meets his match in a madcap kingpin of an underground gambling world.",2h1m,https://occ-0-768-769.1.nflxso.net/dnm/api/v6/XsrytRUxks8BtTRf9HNlZkW2tvY/AAAABbCwfytlbywX175vlAquuu9XuoesHev0x0BK97ytKJtB-Mke1xjcxMdWtwG4houSlUz9ce2dKzRMOs_DoFn85evuuQ.jpg?r=b8e,6.0,,40.0
